1915	0.5215052
1916	0.4248284
1917	0.4250311
1918	0.4771938
1919	0.8280212
1920	0.6156186
1921	0.366627
1922	0.4308883
1923	0.2810287
1924	0.4646245
1925	0.2693951
1926	0.5779049
1927	0.5661151
1928	0.5077584
1929	0.7507175
1930	0.6808395
1931	0.7661091
1932	0.4561473
1933	0.4977496
1934	0.4193273
1935	0.6095514
1936	0.457337
1937	0.5705478
1938	0.3478996
1939	0.3874993
1940	0.5824285
1941	0.2391033
1942	0.2367445
1943	0.2626158
1944	0.4240934
1945	0.365275
1946	0.3750758
1947	0.4090056
1948	0.3891676
1949	0.240261
1950	0.1589496
1951	0.4393373
1952	0.5094681
1953	0.3743465
1954	0.4339828
1955	0.4130557
1956	0.3288928
1957	0.5186648
1958	0.5486504
1959	0.5469111
1960	0.4963494
1961	0.5308929
1962	0.5957761
1963	0.5570584
1964	0.5731325
1965	0.5005416
1966	0.5431269
1967	0.5593657
1968	0.6911693
1969	0.4403485
1970	0.5676662
1971	0.5969114
1972	0.4735537
1973	0.5923935
1974	0.5975556
1975	0.6334127
1976	0.6057115
1977	0.7046107
1978	0.4805263
1979	0.702686
1980	0.7009017
1981	0.6030854
1982	0.6980919
1983	0.597656
1984	0.8023421
1985	0.6017109
1986	0.5993127
1987	0.6025625
1988	0.7016625
1989	0.4995714
1990	0.4980918
1991	0.497569
1992	0.600183
1993	0.3339542
1994	0.274437
1995	0.3209428
1996	0.5406671
1997	0.4050209
1998	0.2885961
1999	0.3275942
2000	0.3132606
2001	0.2575562
2002	0.2138386
2003	0.1861856
2004	0.1592713
